Pulsometer RR [Aimar Mun 2015] heart rate raw data exported
Get Pulsometer RR --> https://play.google.com/store/apps/details?id=com.beetlesoft.pulsometer
CSV version format: 1.4
DB version: 1

Title:	BEGUM
Comments:	
Date:	4/30/17 11:03 AM
Duration:	03:30:14'48
Activities:	Ciclo indoor
Max HR:	152
Average HR:	77
Calories:	167
Time format pattern: "yyyy-MM-dd HH:mm:ss.SSS"

Timespan:	Time formatted:	Elapsed time	Heart rate:	Detection:
1493568329462	2017-04-30 11:05:29.462	00:01:33	111	OK
1493568330455	2017-04-30 11:05:30.455	00:01:34	111	OK
1493568331454	2017-04-30 11:05:31.454	00:01:35	111	OK
1493568332452	2017-04-30 11:05:32.452	00:01:36	111	OK
1493568333490	2017-04-30 11:05:33.490	00:01:37	111	OK
1493568334519	2017-04-30 11:05:34.519	00:01:38	111	OK
1493568335456	2017-04-30 11:05:35.456	00:01:39	111	OK
1493568336455	2017-04-30 11:05:36.455	00:01:40	111	OK
1493568337457	2017-04-30 11:05:37.457	00:01:41	111	OK
1493568338445	2017-04-30 11:05:38.445	00:01:41	111	OK
1493568339437	2017-04-30 11:05:39.437	00:01:43	124	OK
1493568340431	2017-04-30 11:05:40.431	00:01:44	123	OK
1493568341927	2017-04-30 11:05:41.927	00:01:44	123	OK
1493568342427	2017-04-30 11:05:42.427	00:01:46	122	OK
1493568343424	2017-04-30 11:05:43.424	00:01:46	121	OK
1493568344425	2017-04-30 11:05:44.425	00:01:47	121	OK
1493568345917	2017-04-30 11:05:45.917	00:01:49	121	OK
1493568346417	2017-04-30 11:05:46.417	00:01:50	121	OK
1493568347414	2017-04-30 11:05:47.414	00:01:51	121	OK
1493568348415	2017-04-30 11:05:48.415	00:01:52	121	OK
1493568349422	2017-04-30 11:05:49.422	00:01:53	121	OK
1493568350409	2017-04-30 11:05:50.409	00:01:54	121	OK
1493568351413	2017-04-30 11:05:51.413	00:01:55	122	OK
1493568352423	2017-04-30 11:05:52.423	00:01:56	122	OK
1493568353412	2017-04-30 11:05:53.412	00:01:56	122	OK
1493568354896	2017-04-30 11:05:54.896	00:01:58	122	OK
1493568355406	2017-04-30 11:05:55.406	00:01:59	123	OK
1493568356411	2017-04-30 11:05:56.411	00:02:00	123	OK
1493568357403	2017-04-30 11:05:57.403	00:02:01	124	OK
1493568358892	2017-04-30 11:05:58.892	00:02:01	124	OK
1493568359393	2017-04-30 11:05:59.393	00:02:03	124	OK
1493568360388	2017-04-30 11:06:00.388	00:02:03	124	OK
1493568361394	2017-04-30 11:06:01.394	00:02:05	125	OK
1493568362395	2017-04-30 11:06:02.395	00:02:06	125	OK
1493568363403	2017-04-30 11:06:03.403	00:02:07	125	OK
1493568364376	2017-04-30 11:06:04.376	00:02:08	125	OK
1493568365395	2017-04-30 11:06:05.395	00:02:09	125	OK
1493568366394	2017-04-30 11:06:06.394	00:02:10	125	OK
1493568367864	2017-04-30 11:06:07.864	00:02:11	124	OK
1493568368370	2017-04-30 11:06:08.370	00:02:12	124	OK
1493568369374	2017-04-30 11:06:09.374	00:02:13	124	OK
1493568370377	2017-04-30 11:06:10.377	00:02:13	124	OK
1493568371383	2017-04-30 11:06:11.383	00:02:14	125	OK
1493568372373	2017-04-30 11:06:12.373	00:02:16	125	OK
1493568373374	2017-04-30 11:06:13.374	00:02:17	125	OK
1493568374363	2017-04-30 11:06:14.363	00:02:18	126	OK
1493568375363	2017-04-30 11:06:15.363	00:02:19	126	OK
1493568376363	2017-04-30 11:06:16.363	00:02:20	126	OK
1493568377359	2017-04-30 11:06:17.359	00:02:20	126	OK
1493568378364	2017-04-30 11:06:18.364	00:02:22	126	OK
1493568379358	2017-04-30 11:06:19.358	00:02:23	126	OK
1493568380834	2017-04-30 11:06:20.834	00:02:24	126	OK
1493568381343	2017-04-30 11:06:21.343	00:02:24	128	OK
1493568382344	2017-04-30 11:06:22.344	00:02:26	128	OK
1493568383347	2017-04-30 11:06:23.347	00:02:27	129	OK
1493568384345	2017-04-30 11:06:24.345	00:02:28	129	OK
1493568385380	2017-04-30 11:06:25.380	00:02:29	129	OK
1493568386328	2017-04-30 11:06:26.328	00:02:29	130	OK
1493568387322	2017-04-30 11:06:27.322	00:02:31	131	OK
1493568388329	2017-04-30 11:06:28.329	00:02:32	132	OK
1493568389332	2017-04-30 11:06:29.332	00:02:33	133	OK
1493568390828	2017-04-30 11:06:30.828	00:02:33	133	OK
1493568391319	2017-04-30 11:06:31.319	00:02:35	134	OK
1493568392319	2017-04-30 11:06:32.319	00:02:35	135	OK
1493568393807	2017-04-30 11:06:33.807	00:02:37	135	OK
1493568394307	2017-04-30 11:06:34.307	00:02:37	136	OK
1493568395304	2017-04-30 11:06:35.304	00:02:39	136	OK
1493568396313	2017-04-30 11:06:36.313	00:02:40	135	OK
1493568397310	2017-04-30 11:06:37.310	00:02:41	135	OK
1493568398306	2017-04-30 11:06:38.306	00:02:41	135	OK
1493568399313	2017-04-30 11:06:39.313	00:02:42	134	OK
1493568400303	2017-04-30 11:06:40.303	00:02:44	134	OK
1493568401287	2017-04-30 11:06:41.287	00:02:45	134	OK
1493568402288	2017-04-30 11:06:42.288	00:02:46	134	OK
1493568403301	2017-04-30 11:06:43.301	00:02:46	134	OK
1493568404310	2017-04-30 11:06:44.310	00:02:48	134	OK
1493568405280	2017-04-30 11:06:45.280	00:02:49	134	OK
1493568406835	2017-04-30 11:06:46.835	00:02:49	134	OK
1493568407850	2017-04-30 11:06:47.850	00:02:50	134	OK
1493568408835	2017-04-30 11:06:48.835	00:02:50	134	OK
1493568409856	2017-04-30 11:06:49.856	00:02:53	134	OK
1493568410853	2017-04-30 11:06:50.853	00:02:54	134	OK
1493568412280	2017-04-30 11:06:52.280	00:02:54	134	OK
1493568412826	2017-04-30 11:06:52.826	00:02:56	133	OK
1493568413794	2017-04-30 11:06:53.794	00:02:56	133	OK
1493568414847	2017-04-30 11:06:54.847	00:02:57	133	OK
1493568415822	2017-04-30 11:06:55.822	00:02:58	133	OK
1493568416766	2017-04-30 11:06:56.766	00:02:59	133	OK
1493568417761	2017-04-30 11:06:57.761	00:03:01	133	OK
1493568418772	2017-04-30 11:06:58.772	00:03:02	133	OK
1493568419766	2017-04-30 11:06:59.766	00:03:02	133	OK
1493568421242	2017-04-30 11:07:01.242	00:03:04	132	OK
1493568421736	2017-04-30 11:07:01.736	00:03:04	132	OK
1493568422736	2017-04-30 11:07:02.736	00:03:05	132	OK
1493568423751	2017-04-30 11:07:03.751	00:03:06	133	OK
1493568424746	2017-04-30 11:07:04.746	00:03:07	132	OK
1493568425731	2017-04-30 11:07:05.731	00:03:08	133	OK
1493568426724	2017-04-30 11:07:06.724	00:03:10	133	OK
1493568427719	2017-04-30 11:07:07.719	00:03:11	134	OK
1493568428721	2017-04-30 11:07:08.721	00:03:11	133	OK
1493568429742	2017-04-30 11:07:09.742	00:03:13	132	OK
1493568430722	2017-04-30 11:07:10.722	00:03:14	131	OK
1493568431719	2017-04-30 11:07:11.719	00:03:15	130	OK
1493568432715	2017-04-30 11:07:12.715	00:03:16	127	OK
1493568433711	2017-04-30 11:07:13.711	00:03:17	127	OK
1493568434722	2017-04-30 11:07:14.722	00:03:18	127	OK
1493568435728	2017-04-30 11:07:15.728	00:03:18	127	OK
1493568436716	2017-04-30 11:07:16.716	00:03:20	128	OK
1493568437713	2017-04-30 11:07:17.713	00:03:21	129	OK
1493568439195	2017-04-30 11:07:19.195	00:03:21	130	OK
1493568439709	2017-04-30 11:07:19.709	00:03:23	132	OK
1493568440697	2017-04-30 11:07:20.697	00:03:24	133	OK
1493568441712	2017-04-30 11:07:21.712	00:03:25	134	OK
1493568442705	2017-04-30 11:07:22.705	00:03:25	136	OK
1493568443721	2017-04-30 11:07:23.721	00:03:26	137	OK
1493568444699	2017-04-30 11:07:24.699	00:03:28	138	OK
1493568445681	2017-04-30 11:07:25.681	00:03:29	138	OK
1493568446682	2017-04-30 11:07:26.682	00:03:30	139	OK
1493568447688	2017-04-30 11:07:27.688	00:03:31	139	OK
1493568448671	2017-04-30 11:07:28.671	00:03:31	139	OK
1493568449667	2017-04-30 11:07:29.667	00:03:33	138	OK
1493568450668	2017-04-30 11:07:30.668	00:03:33	137	OK
1493568451662	2017-04-30 11:07:31.662	00:03:35	135	OK
1493568452700	2017-04-30 11:07:32.700	00:03:36	134	OK
1493568453679	2017-04-30 11:07:33.679	00:03:37	132	OK
1493568454681	2017-04-30 11:07:34.681	00:03:38	132	OK
1493568455654	2017-04-30 11:07:35.654	00:03:39	132	OK
1493568456679	2017-04-30 11:07:36.679	00:03:40	132	OK
1493568457669	2017-04-30 11:07:37.669	00:03:41	132	OK
1493568458662	2017-04-30 11:07:38.662	00:03:42	132	OK
1493568459659	2017-04-30 11:07:39.659	00:03:43	132	OK
1493568460652	2017-04-30 11:07:40.652	00:03:44	132	OK
1493568461649	2017-04-30 11:07:41.649	00:03:45	132	OK
1493568462660	2017-04-30 11:07:42.660	00:03:45	132	OK
1493568463648	2017-04-30 11:07:43.648	00:03:47	131	OK
1493568465130	2017-04-30 11:07:45.130	00:03:48	132	OK
1493568465640	2017-04-30 11:07:45.640	00:03:48	131	OK
1493568466635	2017-04-30 11:07:46.635	00:03:49	132	OK
1493568467645	2017-04-30 11:07:47.645	00:03:51	131	OK
1493568468655	2017-04-30 11:07:48.655	00:03:52	131	OK
1493568469635	2017-04-30 11:07:49.635	00:03:53	130	OK
1493568470664	2017-04-30 11:07:50.664	00:03:54	129	OK
1493568471631	2017-04-30 11:07:51.631	00:03:55	130	OK
1493568472616	2017-04-30 11:07:52.616	00:03:55	129	OK
1493568473641	2017-04-30 11:07:53.641	00:03:56	128	OK
1493568474609	2017-04-30 11:07:54.609	00:03:56	128	OK
1493568475621	2017-04-30 11:07:55.621	00:03:56	127	OK
1493568476621	2017-04-30 11:07:56.621	00:03:56	128	OK
1493568478114	2017-04-30 11:07:58.114	00:04:00	128	OK
1493568478600	2017-04-30 11:07:58.600	00:04:01	127	OK
1493568479602	2017-04-30 11:07:59.602	00:04:01	127	OK
1493568480611	2017-04-30 11:08:00.611	00:04:01	127	OK
1493568481611	2017-04-30 11:08:01.611	00:04:04	127	OK
1493568482603	2017-04-30 11:08:02.603	00:04:05	127	OK
1493568483599	2017-04-30 11:08:03.599	00:04:07	127	OK
1493568484587	2017-04-30 11:08:04.587	00:04:08	126	OK
